Cluster,Topics
0,"inspection, held, site, attendance, mandatory"
1,"main, roads, depot, esperance, undercover"
2,"site, station, maintenance, supervisor, support"
3,"core, functions, moving, removalist, sensing"
4,"support, solution, island, rottnest, office"
5,"australia, western, testing, site, mt"
6,"network, canteen, nr, refresh, lan"
7,"wa, college, electricity, cuaelc2012, agriculture"
8,"stem, science, ec21, commitment, election"
9,"school, supply, desktop, computers, cuacmd2014"
10,"storage, wa, block, boat, harbour"
11,"design, new, seeking, maintenance, health"
12,"pioneer, corporate, shenton, park, camhs"
13,"lifecycle, awareness, bi, cisco, automotive"
14,"primary, education, aveley, install, gla"
15,"contractors, pfm, programmed, shs, ps"
16,"emergency, hospital, engineering, case, health"
17,"pty, pfm, programmed, primary, school"
18,"huntingdale, singleton, primary, school, electricity"
19,"supers, asset, storage, campus, health"
20,"finance, professional, support, electrical, personnel"
21,"consulting, days, desk, advisory, research"
22,"20222344, category, 220913, 220128, lg01302015"
23,"building, emergency, design, replacement, health"
24,"including, design, information, requirements, required"
25,"guildford, demountable, davidson, sustainability, advisor"
26,"cuafaf2018, muresk, comprehensive, finw0387620, cuaafa2018"
27,"domestic, violence, delivery, design, college"
28,"law, enterprise, architecture, winter, smartsheet"
29,"required, advisory, design, buildings, damaged"
30,"network, operations, personnel, cua, tps2019"
31,"beyer, officer, maunder, writer, carpenter"
32,"technologies, screen, green, developer, icwa"
33,"adverse, walker, seeking, education, doe"
34,"governance, school, computer, maintenance, financial"
35,"supply, quality, assessment, rating, support"
36,"tasmin, tajani, bambi, avro, cahs20205649"
37,"construction, police, 2021, building, audit"
38,"buried, mullewa, consultant, police, hospital"
39,"environmental, offset, camfield, extension, plan"
40,"metronet, controller, planner, sbs, personnel"
41,"taskforce, mechanical, engagement, college, esperance"
42,"controller, design, campaign, creative, concept"
43,"industries, drupal, training, government, development"
44,"york, structure, m041, bridge, slk"
45,"school, high, senior, electricity, cuaelc2012"
46,"investment, dwelling, bed, bath, sh"
47,"redevelopment, website, design, cowie, model"
48,"construction, financial, audit, supply, education"
49,"concertina, doors, primary, school, education"
50,"development, classroom, training, workforce, panel"
51,"relations, adobe, equipment, japan, mycare"
52,"technical, analysis, biodiscovery, supply, advisory"
53,"2021, supply, laptop, cuacmd2014, bundles"
54,"site, primary, school, education, visit"
55,"traffic, transcription, rediroom, idd, f5"
56,"doj20200817, white, label, web, gateway"
57,"kambalda, panel, cleaning, school, district"
58,"months, procurement, contract, l7, cuatps2019"
59,"property, administration, staff, clerical, engagement"
60,"environmental, mrs, filters, program, support"
61,"nair, swathi, awale, sharma, officer"
62,"facilities, plan, state, infrastructure, asset"
63,"öld, storage, distribution, internal, audit"
64,"study, school, building, architectural, panel"
65,"inspection, mandatory, denmark, school, attendance"
66,"information, 2050, hpe, program, gascoyne"
67,"doing, dollar, öld, change, manager"
68,"bore, production, installation, commissioning, radiopharmaceutical"
69,"maintenance, microscopes, neuro, accessories, laser"
